thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",arifhosensefat,1,thanks brother pray for me.,N/A,"Jul 21, 2020 3:29 pm",2020-07-21 17:09:27.334435,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",themeexpress,2,Sure. Take care and best of luck,N/A,"Jul 21, 2020 3:30 pm",2020-07-21 17:09:27.712115,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",akraam_uddin,1,in sha Allah. Give some tips how get order more and more.,N/A,"Jul 21, 2020 3:31 pm",2020-07-21 17:09:28.107167,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",arifhosensefat,2,Thank you pray for me.,N/A,"Jul 21, 2020 3:31 pm",2020-07-21 17:09:28.499766,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",arifhosensefat,1,But how Can I active 5 hours in a day. meybe I spend only 20minutes here😐,N/A,"Jul 21, 2020 3:32 pm",2020-07-21 17:09:28.905879,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",abm_abdullah,1,"Congratulations Bro, Go Ahead",N/A,"Jul 21, 2020 3:51 pm",2020-07-21 17:09:29.305931,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",sohanislam9,1,Congratulation Brother.Actually you are working hard.Best of luck.,N/A,"Jul 21, 2020 4:00 pm",2020-07-21 17:09:29.706605,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",mostafahamid,1,Best of luck man.,N/A,"Jul 21, 2020 4:16 pm",2020-07-21 17:09:30.116802,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",jj_design89,1,Congratulations! Keep it up.,N/A,"Jul 21, 2020 4:18 pm",2020-07-21 17:09:30.507363,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",arafat_rasel,2,Congratulation Brother Best of luck,N/A,"Jul 21, 2020 4:46 pm",2020-07-21 17:09:30.918899,
I have got 55 sells in last 22 days. I am happy now,"Your Fiverr Experience
My Fiverr Gigs",15,39,36,"Jul 21, 2020 3:25 pm","Jul 21, 2020 3:25 pm","Jul 21, 2020 5:06 pm",https://forum.fiverr.com/t/i-have-got-55-sells-in-last-22-days-i-am-happy-now/488953,"arifhosensefat, themeexpress, akraam_uddin, mostafahamid, syed_mostakin, abm_abdullah, sohanislam9, arafat_rasel, hasanmallick, jj_design89",arifhosensefat,11,I have got 55 sells in last 22 days. I am happy now.,N/A,1,"Jul 21, 2020 3:27 pm",syed_mostakin,2,Congratulations Bro. Best of luck,N/A,"Jul 21, 2020 5:06 pm",2020-07-21 17:09:31.314343,
VOs who have raised/doubled their prices: are y’all getting orders?,"Your Fiverr Experience
My Fiverr Gigs",1,26,3,"Jul 21, 2020 7:42 am","Jul 21, 2020 5:03 pm","Jul 21, 2020 5:03 pm",https://forum.fiverr.com/t/vos-who-have-raised-doubled-their-prices-are-yall-getting-orders/488682,"english_voice, gwyneth_galvin",gwyneth_galvin,3,"I’ve had some really lovely comments/messages over the months from some of you saying that I should raise my prices. I have tried that in the past and my orders dropped out significantly - enough that my increase in prices didn’t make up for the loss in sales.
I’ve been really busy lately (4-5 orders per day) so I decided now would be a good time to try it, as I’ll need a break soon to rest my voice anyway. So I kept my base rate the same but doubled my increment price. I haven’t had any orders in 2 days now and have had quotes rejected twice.
So for those of you who have doubled their prices, how are you maintaining sales? I agree that my work is worth more, but if I’m not getting any orders I can’t pay my dang gas bill.
Oh also, most of my regulars disappeared around March, I’m assuming because their offices closed due to Covid. So I can’t depend on my regulars to get me through. Almost all of my orders in the last 2 months have been from unique sales.",N/A,N/A,N/A,english_voice,0,"As a former Fiverr voiceover, I have to say that one of the reasons I stopped selling voice services is because people generally weren’t prepared to pay what I considered to be the going rate for my time and skills.
A lot of the voiceovers I did (we’re talking between five and seven years ago) were for whiteboard videos which have (thankfully) gone out of favour now. But my point is that while there was a demand for my gig, sadly it was from very low budget productions. The moment I tried to increase my price, sales dropped away.
When you throw into the mix the fact that people often want things re-voiced once or twice (as how you interpreted the intonation of their script wasn’t how they heard it) - and suddenly a 15 minute (allowing for everything) / $10 gig becomes a nightmare.
The Fiverr marketplace is great for selling certain services. I’ll be honest and say I couldn’t make it financially work for me when it came to voiceovers. Maybe I wasn’t quite good enough, but I just attracted the $5 / $10 / $15 type of buyer at the time.
Good luck.",N/A,"Jul 21, 2020 5:03 pm",2020-07-21 17:09:35.671143,
Animated Gig Video,"Your Fiverr Experience
Improve My Gig",1,34,2,"Jul 21, 2020 7:45 am","Jul 21, 2020 4:57 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/animated-gig-video/488685,"syed_mostakin, razehehmed",razehehmed,1,"Hello, I want to ask can I upload an animated gig video in which a cartoon is telling about my service. Is this good? Will it increase my sale?",N/A,1,"Jul 21, 2020 7:53 am",syed_mostakin,1,"yes u can upload any animated gig video in your service. is help you gig rank . Fiverr always say that if a video is attached to a gig, that gig increases by another 200%.",N/A,"Jul 21, 2020 4:57 pm",2020-07-21 17:09:39.909917,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,hinajehan,1,"Wow, congratulations",N/A,"Jul 16, 2020 10:29 pm",2020-07-21 17:09:46.534933,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,nishant0811,1,Thats a very good start bro…wishing you all the best,N/A,"Jul 16, 2020 11:20 pm",2020-07-21 17:09:46.921227,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,fa_asif,1,"Glad to hear that.
Wish you a best journey with fiver.",N/A,"Jul 17, 2020 12:16 am",2020-07-21 17:09:47.313996,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,nipundeswal,2,"Wow brah congratulations, keep on hustling",N/A,"Jul 17, 2020 2:05 am",2020-07-21 17:09:47.729736,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,themeexpress,1,Congratulations Best of luck for your journy,N/A,"Jul 17, 2020 2:07 am",2020-07-21 17:09:48.099720,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,anisurratan,1,Congratulations. Keep going…,N/A,"Jul 17, 2020 2:08 am",2020-07-21 17:09:48.437500,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,webfsxpert,1,Congratulations.,N/A,"Jul 17, 2020 2:16 am",2020-07-21 17:09:48.832070,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,anik_islam19,1,"Congratulations…
You are very lucky…",N/A,"Jul 17, 2020 2:36 am",2020-07-21 17:09:49.237532,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,multispire,1,super…congratulations.,N/A,"Jul 17, 2020 4:15 am",2020-07-21 17:09:49.633799,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,sabariharidas,1,thats really awsome man. all the best.,N/A,"Jul 17, 2020 12:18 pm",2020-07-21 17:09:50.029247,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,belayat3749,1,Congratulations Brother,N/A,"Jul 17, 2020 12:20 pm",2020-07-21 17:09:50.424121,
I got my first order in 9 days of opening my account,Your Fiverr Experience,28,179,44,"Jul 16, 2020 10:17 pm","Jul 16, 2020 10:29 pm","Jul 21, 2020 4:57 pm",https://forum.fiverr.com/t/i-got-my-first-order-in-9-days-of-opening-my-account/486172,"ambgenesis, sabariharidas, jayanths98, shrutiiiii405, themeexpress, rifatimithun, abdulshanayqb, ekaraksasa, qbo_xero_pro, thasleemajaleel, glow_writer, wpexpertsabbir, webfsxpert, nipundeswal, multispire, fa_asif, nishant0811, rashadul_islam1, belayat3749, hinajehan, anik_islam19, arafat_rasel, anisurratan, emmangraphic",emmangraphic,17,I got my first order in 9 days of opening my account as a graphic designer and my client left 5 star thumbup,N/A,N/A,N/A,jayanths98,1,well done bro.all the best for your future,N/A,"Jul 17, 2020 12:39 pm",2020-07-21 17:09:50.828192,
